Make,C-IT,C-IT,C-IT,C-IT,Search,Search,Search,Search,UK TOC,UK TOC,UK TOC,Agency,Agency,Agency
Model,Bookings,API,International,Other,NRE,SilverRail,UK TOC,Others,Chiltern,Grand Central,Payzone,Egencia,Rail Europe,Other
Type,CarrierIT,CarrierIT,CarrierIT,CarrierIT,Search,Search,Search,Search,UK TOC,UK TOC,UK TOC,Agency,Agency,Agency
2018-01, 1.13 , -   , -   , -   , 0.20 , 0.01 , -   , -   , 0.02 , -   , -   , -   , -   , -   
2018-02, 1.17 , -   , -   , -   , 0.19 , 0.01 , -   , -   , 0.02 , -   , -   , -   , -   , -   
2018-03, 1.36 , -   , -   , -   , 0.11 , 0.01 , -   , -   , 0.02 , -   , -   , -   , -   , -   
2018-04, 1.30 , -   , -   , -   , 0.12 , 0.01 , -   , -   , 0.02 , -   , -   , -   , -   , -   
2018-05, 1.32 , -   , -   , -   , 0.28 , 0.01 , -   , -   , 0.03 , -   , -   , -   , -   , -   
2018-06, 1.22 , -   , -   , -   , 0.20 , 0.00 , -   , -   , 0.03 , -   , -   , -   , -   , -   
2018-07, 1.08 , -   , -   , -   , 0.23 , 0.00 , -   , -   , 0.03 , -   , -   , -   , -   , -   
2018-08, 1.30 , -   , -   , -   , 0.19 , 0.00 , -   , -   , 0.03 , -   , -   , -   , -   , -   
2018-09, 1.34 , -   , -   , -   , 0.18 , 0.02 , -   , -   , 0.02 , -   , -   , -   , -   , -   
2018-10, 1.46 , -   , -   , -   , 0.28 , 0.01 , -   , -   , 0.03 , -   , -   , -   , -   , -   
2018-11, 1.39 , -   , -   , -   , 0.24 , 0.01 , -   , -   , 0.03 , -   , -   , -   , -   , -   
2018-12, 1.09 , -   , -   , -   , 0.18 , 0.01 , -   , -   , 0.02 , -   , -   , -   , -   , -   
2019-01, 1.33 , 0.22 , 0.07 , 0.65 , 0.19 , 0.01 , 0.21 , 0.03 , 0.02 , -   , -   , 0.10 , 0.00 , 0.05 
2019-02, 1.23 , 0.23 , 0.09 , 0.65 , 0.19 , 0.01 , 0.21 , 0.03 , 0.02 , -   , -   , 0.11 , 0.00 , 0.05 
2019-03, 1.36 , 0.24 , 0.24 , 0.64 , 0.19 , 0.01 , 0.21 , 0.03 , 0.02 , -   , -   , 0.13 , 0.00 , 0.05 
2019-04, 1.37 , 0.24 , 0.25 , 0.65 , 0.19 , 0.01 , 0.21 , 0.03 , 0.02 , -   , -   , 0.14 , 0.00 , 0.06 
2019-05, 1.40 , 0.25 , 0.38 , 0.64 , 0.19 , 0.01 , 0.21 , 0.03 , 0.03 , -   , -   , 0.17 , 0.00 , 0.06 
2019-06, 1.33 , 0.24 , 0.47 , 0.62 , 0.19 , 0.01 , 0.21 , 0.03 , 0.02 , -   , -   , 0.17 , 0.00 , 0.06 
2019-07, 1.31 , 0.21 , 0.45 , 0.55 , 0.19 , 0.01 , 0.21 , 0.03 , 0.03 , 0.03 , 0.19 , 0.18 , 0.00 , 0.06 
2019-08, 1.53 , 0.25 , 0.22 , 0.63 , 0.19 , 0.01 , 0.21 , 0.03 , 0.02 , 0.02 , 0.19 , 0.19 , 0.00 , 0.06 
2019-09, 1.53 , 0.25 , 0.21 , 0.63 , 0.19 , 0.01 , 0.21 , 0.03 , 0.02 , 0.03 , 0.19 , 0.20 , 0.00 , 0.14 
2019-10, 1.70 , 0.28 , 0.09 , 0.84 , 0.19 , 0.01 , 0.21 , 0.03 , 0.03 , 0.03 , 0.19 , 0.23 , 0.00 , 0.14 
2019-11, 1.58 , 0.26 , 0.26 , 0.80 , 0.19 , 0.01 , 0.21 , 0.03 , 0.03 , 0.03 , 0.19 , 0.23 , 0.00 , 0.14 
2019-12, 1.28 , 0.21 , 0.12 , 0.70 , 0.19 , 0.01 , 0.21 , 0.03 , 0.02 , 0.02 , 0.19 , 0.23 , 0.00 , 0.14 
