Make,Honda,Toyota,Honda,Ford,Honda,Ford,Porsche,Cadillac,BMW,Porsche,Nissan,Smart,Hyundai,Toyota
Model,Insight,Prius,Civic,C-Max Energi,Accord,Fusion Energi,Panamera S E-Hybrid,ELR,i8,Cayenne S E-hybrid,LEAF,ED,Tucson,Mirai
Type,CarrierIT,CarrierIT,CarrierIT,CarrierIT,Search,Search,Search,Search,UK TOC,UK TOC,UK TOC,Agency,Agency,Agency
2005-01,7,5566,1169,,,,,,,,,,,
2005-02,22,7078,1353,,,,,,,,,,,
2005-03,56,10236,2896,,,,,,,,,,,
2005-04,90,11345,3466,,,,,,,,,,,
2005-05,52,9461,1895,,,,,,,,,,,
2005-06,69,9622,1852,,,,,,,,,,,
2005-07,68,9691,2329,,,,,,,,,,,
2005-08,80,9850,4146,,,,,,,,,,,
2005-09,83,8193,1916,,,,,,,,,,,
2005-10,37,9939,231,,,,,,,,,,,
2005-11,60,7889,2083,,,,,,,,,,,
2005-12,42,9027,2528,,,,,,,,,,,
2006-01,59,7654,3166,,,,,,,,,,,
2006-02,72,6547,1781,,,,,,,,,,,
2006-03,79,7922,2232,,,,,,,,,,,
2006-04,110,8234,3087,,,,,,,,,,,
2006-05,92,8103,2890,,,,,,,,,,,
2006-06,77,9696,2601,,,,,,,,,,,
2006-07,91,11114,2673,,,,,,,,,,,
2006-08,109,11177,3411,,,,,,,,,,,
2006-09,19,10492,2508,,,,,,,,,,,
2006-10,9,8733,2288,,,,,,,,,,,
2006-11,2,8008,2208,,,,,,,,,,,
2006-12,3,9291,2408,,,,,,,,,,,
2007-01,0,8299,1783,,,,,,,,,,,
2007-02,0,12227,1924,,,,,,,,,,,
2007-03,1,19156,2813,,,,,,,,,,,
2007-04,2,13056,2855,,,,,,,,,,,
2007-05,0,24009,4520,,,,,,,,,,,
2007-06,0,17756,3246,,,,,,,,,,,
2007-07,0,16062,2493,,,,,,,,,,,
2007-08,0,14055,2102,,,,,,,,,,,
2007-09,0,12494,2092,,,,,,,,,,,
2007-10,0,13158,2286,,,,,,,,,,,
2007-11,0,16737,3238,,,,,,,,,,,
2007-12,0,14212,3223,,,,,,,,,,,
2008-01,0,11379,1745,,,,,,,,,,,
2008-02,0,10895,1808,,,,,,,,,,,
2008-03,0,20635,3769,,,,,,,,,,,
2008-04,0,21757,4324,,,,,,,,,,,
2008-05,0,15011,4676,,,,,,,,,,,
2008-06,0,11765,2710,,,,,,,,,,,
2008-07,0,14785,3440,,,,,,,,,,,
2008-08,0,13463,3105,,,,,,,,,,,
2008-09,0,10873,2020,,,,,,,,,,,
2008-10,0,11804,1621,,,,,,,,,,,
2008-11,0,8660,1043,,,,,,,,,,,
2008-12,0,7859,1036,,,,,,,,,,,
2009-01,0,8121,1076,,,,,,,,,,,
2009-02,0,7232,1362,,,,,,,,,,,
2009-03,569,8924,2869,,,,,,,,,,,
2009-04,2096,8385,3361,,,,,,,,,,,
2009-05,2780,10091,2077,,,,,,,,,,,
2009-06,2079,12998,1583,,,,,,,,,,,
2009-07,2295,19173,969,,,,,,,,,,,
2009-08,4226,18886,717,,,,,,,,,,,
2009-09,1746,10984,152,,,,,,,,,,,
2009-10,1739,13496,239,,,,,,,,,,,
2009-11,1403,9617,243,,,,,,,,,,,
2009-12,1639,11775,471,,,,,,,,,,,
2010-01,1307,8484,253,,,,,,,,,,,
2010-02,2014,7968,346,,,,,,,,,,,
2010-03,1652,11786,579,,,,,,,,,,,
2010-04,1880,12555,621,,,,,,,,,,,
2010-05,1913,14248,717,,,,,,,,,,,
2010-06,1491,10998,595,,,,,,,,,,,
2010-07,1858,14102,617,,,,,,,,,,,
2010-08,2030,11799,761,,,,,,,,,,,
2010-09,1679,11394,667,,,,,,,,,,,
2010-10,1965,11731,662,,,,,,,,,,,
2010-11,1536,10224,612,,,,,,,,,,,
2010-12,1637,15639,906,,,,,,,,19,0,,
2011-01,1554,10635,653,,,,,,,,87,16,,
2011-02,1722,13539,532,,,,,,,,67,16,,
2011-03,2782,18605,441,,,,,,,,298,0,,
2011-04,2644,12477,121,,,,,,,,573,0,,
2011-05,1435,6924,268,,,,,,,,1142,8,,
2011-06,1021,4340,418,,,,,,,,1708,0,,
2011-07,987,7907,311,,,,,,,,931,1,,
2011-08,961,9491,106,,,,,,,,1362,1,,
2011-09,512,9325,305,,,,,,,,1031,0,,
2011-10,492,11008,480,,,,,,,,849,17,,
2011-11,749,15208,503,,,,,,,,672,101,,
2011-12,690,17004,565,,,,,,,,954,182,,
2012-01,492,11555,449,,,,,,,,676,0,,
2012-02,773,20589,741,,,,,,,,478,2,,
2012-03,1032,27800,906,,,,,,,,579,0,,
2012-04,738,23514,766,,,,,,,,370,0,,
2012-05,512,20391,708,,,,,,,,510,0,,
2012-06,494,18455,548,,,,,,,,535,127,,
2012-07,419,15955,471,,,,,,,,395,6,,
2012-08,341,20064,579,,,,,,,,685,1,,
2012-09,246,17280,493,,,,,,,,984,0,,
2012-10,251,14885,453,144,,,,,,,1579,0,,
2012-11,238,14739,530,1259,,,,,,,1539,3,,
2012-12,310,18679,512,971,,,,,,,1489,0,,
2013-01,319,14898,429,338,2,0,,,,,650,1,,
2013-02,388,17119,433,334,17,119,,,,,653,1,,
2013-03,454,21354,572,494,26,295,,,,,2236,0,,
2013-04,391,19290,569,411,55,364,,,,,1937,0,,
2013-05,426,22844,570,450,58,416,,,,,2138,60,,
2013-06,384,20495,568,455,42,390,,,,,2225,53,,
2013-07,420,22477,578,433,54,407,,,,,1864,58,,
2013-08,438,25567,697,621,44,600,,,,,2420,182,,
2013-09,299,14738,402,758,51,750,,,,,1953,137,,
2013-10,463,13528,1158,1092,71,1087,,,,,2002,111,,
2013-11,402,15029,1031,941,68,870,4,0,,,2003,153,,
2013-12,418,14801,712,827,38,791,47,6,,,2529,167,,
2014-01,317,11402,439,471,27,533,141,41,,,1252,97,,
2014-02,339,11820,443,552,24,779,57,58,,,1425,122,,
2014-03,410,17130,338,610,18,899,56,81,,,2507,186,,
2014-04,441,16270,450,525,37,743,63,61,,,2088,203,,
2014-05,493,24101,415,782,46,1342,53,52,,,3117,206,,
2014-06,333,17078,410,988,28,1939,111,97,,,2347,278,6,
2014-07,291,19304,409,831,41,1226,63,188,,,3019,298,10,
2014-08,290,22619,503,1050,46,1222,68,196,9,,3186,208,10,
2014-09,240,13924,360,677,42,640,82,111,58,,2881,182,6,
2014-10,222,13032,395,644,34,686,97,152,204,,2589,150,1,
2014-11,278,13506,432,644,43,752,57,155,126,45,2687,313,10,
2014-12,311,13922,476,659,63,789,31,118,158,67,3102,351,12,
2015-01,223,11843,320,395,28,426,61,92,85,83,1070,147,6,
2015-02,211,11621,358,498,12,603,40,127,113,106,1198,76,3,
2015-03,209,15565,351,715,5,837,44,92,143,72,1817,103,3,
2015-04,183,14807,386,553,5,711,30,104,138,88,1553,124,1,
2015-05,139,18836,458,715,5,986,21,116,117,111,2104,102,2,
2015-06,126,14587,391,667,4,727,34,62,137,89,2074,94,2,
2015-07,113,17340,463,693,1,852,23,66,217,77,1174,109,0,2
2015-08,85,17413,590,723,2,949,36,45,210,83,1393,106,1,0
2015-09,64,15894,613,719,0,808,41,36,182,70,1247,94,5,2
2015-10,53,15112,455,695,0,849,28,82,149,126,1238,75,1,38
2015-11,30,12531,239,639,1,944,33,67,118,121,1054,178,0,23
2015-12,22,15054,263,579,1,1058,16,135,656,137,1347,179,0,15
2016-01,19,9301,161,350,0,581,27,67,32,146,755,48,2,26
2016-02,0,10544,143,490,0,932,33,91,54,172,930,54,3,30
2016-03,2,12068,166,610,0,1238,23,104,89,244,1246,70,4,41
2016-04,9,11921,92,607,0,1331,25,95,130,237,787,66,4,41
2016-05,9,12513,83,538,0,1453,26,45,146,191,979,75,4,40
2016-06,9,11016,62,630,0,1700,22,94,169,176,1096,53,8,40
2016-07,5,12690,60,755,0,1341,21,15,166,148,1063,62,8,52
2016-08,9,12982,50,707,0,1422,59,6,145,197,1066,55,2,371
2016-09,1,12471,38,689,0,1652,28,6,158,131,1316,44,4,69
2016-10,0,8132,14,571,0,1372,38,3,199,138,1412,43,0,103
2016-11,3,9714,15,721,0,1817,88,5,173,179,1457,47,0,105
2016-12,9,10803,12,1289,0,1099,3,3,133,152,1899,40,1,116
2017-01,1,6463,16,473,0,606,2,3,50,177,772,15,2,83
2017-02,0,7682,8,639,0,837,1,0,58,121,1037,22,5,110
