Make,CarrierIT,CarrierIT,CarrierIT,CarrierIT,Search,Search,Search,Search,UKTOC,UKTOC,UKTOC,Agency,Agency,Agency
Model,Bookings,API,International,Other,NRE,SilverRail,UK TOC,Others,Chiltern,Grand Central,Payzone,Egencia,Rail Europe,Other
Type,CarrierIT,CarrierIT,CarrierIT,CarrierIT,Search,Search,Search,Search,UKTOC,UKTOC,UKTOC,Agency,Agency,Agency
2018-01,1130000,0,0,0,200000,10000,0,0,20000,0,0,0,0,0
2018-02,1170000,0,0,0,190000,10000,0,0,20000,0,0,0,0,0
2018-03,1360000,0,0,0,110000,10000,0,0,20000,0,0,0,0,0
2018-04,1300000,0,0,0,120000,10000,0,0,20000,0,0,0,0,0
2018-05,1320000,0,0,0,280000,10000,0,0,30000,0,0,0,0,0
2018-06,1220000,0,0,0,200000,0,0,0,30000,0,0,0,0,0
2018-07,1080000,0,0,0,230000,0,0,0,30000,0,0,0,0,0
2018-08,1300000,0,0,0,190000,0,0,0,30000,0,0,0,0,0
2018-09,1340000,0,0,0,180000,20000,0,0,20000,0,0,0,0,0
2018-10,1460000,0,0,0,280000,10000,0,0,30000,0,0,0,0,0
2018-11,1390000,0,0,0,240000,10000,0,0,30000,0,0,0,0,0
2018-12,1090000,0,0,0,180000,10000,0,0,20000,0,0,0,0,0
2019-01,1330000,220000,70000,650000,190000,10000,210000,30000,20000,0,0,100000,0,50000
2019-02,1230000,230000,90000,650000,190000,10000,210000,30000,20000,0,0,110000,0,50000
2019-03,1360000,240000,240000,640000,190000,10000,210000,30000,20000,0,0,130000,0,50000
2019-04,1370000,240000,250000,650000,190000,10000,210000,30000,20000,0,0,140000,0,60000
2019-05,1400000,250000,380000,640000,190000,10000,210000,30000,30000,0,0,170000,0,60000
2019-06,1330000,240000,470000,620000,190000,10000,210000,30000,20000,0,0,170000,0,60000
2019-07,1310000,210000,450000,550000,190000,10000,210000,30000,30000,30000,190000,180000,0,60000
2019-08,1530000,250000,220000,630000,190000,10000,210000,30000,20000,20000,190000,190000,0,60000
2019-09,1530000,250000,210000,630000,190000,10000,210000,30000,20000,30000,190000,200000,0,140000
2019-10,1700000,280000,90000,840000,190000,10000,210000,30000,30000,30000,190000,230000,0,140000
2019-11,1580000,260000,260000,800000,190000,10000,210000,30000,30000,30000,190000,230000,0,140000
2019-12,1280000,210000,120000,700000,190000,10000,210000,30000,20000,20000,190000,230000,0,140000
