tag,yr,mo,total
CERTIFY,2018,1,33
CERTIFY,2018,2,5
CERTIFY,2018,7,14
CERTIFY,2019,1,46
CERTIFY,2019,2,26
CERTIFY,2019,3,35
CERTIFY,2019,4,39
CERTIFY,2019,5,67
CERTIFY,2019,6,34
CERTIFY,2019,7,44
CERTIFY,2019,8,37
CERTIFY,2019,9,2
CERTIFY,2019,10,2
CERTIFY,2019,11,2
CERTIFY,2019,12,6
CHILTERN,2017,9,4
CHILTERN,2018,1,25327
CHILTERN,2018,2,7875
CHILTERN,2018,7,31126
CHILTERN,2019,1,24991
CHILTERN,2019,2,21686
CHILTERN,2019,3,26106
CHILTERN,2019,4,40782
CHILTERN,2019,5,43479
CHILTERN,2019,6,43293
CHILTERN,2019,7,68502
CHILTERN,2019,8,62156
CHILTERN,2019,9,2752
CHILTERN,2019,10,3464
CHILTERN,2019,11,4101
CHILTERN,2019,12,3347
CONCUR,2017,4,3
CONCUR,2017,7,15
CONCUR,2017,8,15
CONCUR,2017,9,22
CONCUR,2018,1,44
CONCUR,2018,2,1
CONCUR,2018,7,1
CONCUR,2019,1,24
CONCUR,2019,2,12
CONCUR,2019,3,6
CONCUR,2019,4,47
CONCUR,2019,5,18
CONCUR,2019,6,19
CONCUR,2019,7,7
CONCUR,2019,8,41
CONCUR,2019,11,8
CONCUR,2019,12,2
EBUK,2013,2,8
EBUK,2013,3,126
EBUK,2013,4,141
EBUK,2013,5,197
EBUK,2013,6,257
EBUK,2013,7,301
EBUK,2013,8,196
EBUK,2013,9,220
EBUK,2013,10,294
EBUK,2013,11,276
EBUK,2013,12,224
EBUK,2014,1,377
EBUK,2014,2,361
EBUK,2014,3,319
EBUK,2014,4,293
EBUK,2014,5,314
EBUK,2014,6,274
EBUK,2014,7,265
EBUK,2014,8,190
EBUK,2014,9,141
EGENCIA,2013,1,2474
EGENCIA,2013,2,2411
EGENCIA,2013,3,2635
EGENCIA,2013,4,2946
EGENCIA,2013,5,2716
EGENCIA,2013,6,2574
EGENCIA,2013,7,2425
EGENCIA,2013,8,2315
EGENCIA,2013,9,2898
EGENCIA,2013,10,3140
EGENCIA,2013,11,2699
EGENCIA,2013,12,2046
EGENCIA,2014,1,3243
EGENCIA,2014,2,3149
EGENCIA,2014,3,3582
EGENCIA,2014,4,3492
EGENCIA,2014,5,3549
EGENCIA,2014,6,3192
EGENCIA,2014,7,3236
EGENCIA,2014,8,2685
EGENCIA,2014,9,3887
EGENCIA,2014,10,4006
EGENCIA,2014,11,2506
EGENCIA,2015,1,3894
EGENCIA,2015,2,3811
EGENCIA,2015,3,4141
EGENCIA,2015,4,1012
EGENCIA,2015,7,3599
EGENCIA,2015,8,3094
EGENCIA,2015,9,4300
EGENCIA,2015,10,1515
EGENCIA,2016,1,4261
EGENCIA,2016,2,4233
EGENCIA,2016,3,4470
EGENCIA,2016,7,4267
EGENCIA,2016,8,4754
EGENCIA,2016,9,5206
EGENCIA,2017,1,5641
EGENCIA,2017,2,5386
EGENCIA,2017,3,6790
EGENCIA,2017,4,1897
EGENCIA,2017,7,5402
EGENCIA,2017,8,4948
EGENCIA,2017,9,5819
EGENCIA,2017,10,32
EGENCIA,2018,1,7040
EGENCIA,2018,2,2187
EGENCIA,2018,7,7742
EGENCIA,2019,1,35553
EGENCIA,2019,2,29953
EGENCIA,2019,3,35222
EGENCIA,2019,4,58117
EGENCIA,2019,5,58404
EGENCIA,2019,6,53841
EGENCIA,2019,7,79679
EGENCIA,2019,8,66856
EGENCIA,2019,9,2275
EGENCIA,2019,10,2745
EGENCIA,2019,11,7901
EGENCIA,2019,12,5200
EGLOBAL,2014,5,5
EGLOBAL,2014,6,36
EGLOBAL,2014,7,26
EGLOBAL,2014,8,53
EGLOBAL,2014,9,36
EGLOBAL,2014,10,37
EGLOBAL,2014,11,15
EGLOBAL,2015,1,33
EGLOBAL,2015,2,42
EGLOBAL,2015,3,36
EGLOBAL,2015,4,9
EGLOBAL,2015,7,30
EGLOBAL,2015,8,20
EGLOBAL,2015,9,35
EGLOBAL,2015,10,12
EGLOBAL,2016,1,21
EGLOBAL,2016,2,32
EGLOBAL,2016,3,16
EGLOBAL,2016,7,89
EGLOBAL,2016,8,90
EGLOBAL,2016,9,143
EGLOBAL,2017,1,93
EGLOBAL,2017,2,7
EXPEDIA,2016,9,57
EXPEDIA,2017,1,208
EXPEDIA,2017,2,369
EXPEDIA,2017,3,439
EXPEDIA,2017,4,257
EXPEDIA,2017,7,2498
EXPEDIA,2017,8,2544
EXPEDIA,2017,9,2424
EXPEDIA,2017,10,62
EXPEDIA,2018,1,3436
EXPEDIA,2018,2,1160
EXPEDIA,2018,7,1423
EXPEDIA,2019,1,573
EXPEDIA,2019,2,555
EXPEDIA,2019,3,678
EXPEDIA,2019,4,993
EXPEDIA,2019,5,948
EXPEDIA,2019,6,408
EXPEDIA,2019,7,96
EXPEDIA,2019,8,94
EXPEDIA,2019,9,64
EXPEDIA,2019,10,65
EXPEDIA,2019,11,94
EXPEDIA,2019,12,82
FAREPORTAL,2016,9,3
FAREPORTAL,2017,1,30
