tag,yr,mo,total
CERTIFY,2013,01,0
CERTIFY,2013,02,0
CERTIFY,2013,03,0
CERTIFY,2013,04,0
CERTIFY,2013,05,0
CERTIFY,2013,06,0
CERTIFY,2013,07,0
CERTIFY,2013,08,0
CERTIFY,2013,09,0
CERTIFY,2013,10,0
CERTIFY,2013,11,0
CERTIFY,2013,12,0
CERTIFY,2014,01,0
CERTIFY,2014,02,0
CERTIFY,2014,03,0
CERTIFY,2014,04,0
CERTIFY,2014,05,0
CERTIFY,2014,06,0
CERTIFY,2014,07,0
CERTIFY,2014,08,0
CERTIFY,2014,09,0
CERTIFY,2014,10,0
CERTIFY,2014,11,0
CERTIFY,2014,12,0
CERTIFY,2015,01,0
CERTIFY,2015,02,0
CERTIFY,2015,03,0
CERTIFY,2015,04,0
CERTIFY,2015,05,0
CERTIFY,2015,07,0
CERTIFY,2015,08,0
CERTIFY,2015,09,0
CERTIFY,2015,10,0
CERTIFY,2015,11,0
CERTIFY,2016,01,0
CERTIFY,2016,02,0
CERTIFY,2016,03,0
CERTIFY,2016,04,0
CERTIFY,2016,07,0
CERTIFY,2016,08,0
CERTIFY,2016,09,0
CERTIFY,2016,10,0
CERTIFY,2016,11,0
CERTIFY,2017,01,0
CERTIFY,2017,02,0
CERTIFY,2017,03,0
CERTIFY,2017,04,0
CERTIFY,2017,07,0
CERTIFY,2017,08,0
CERTIFY,2017,09,0
CERTIFY,2017,10,0
CERTIFY,2018,01,33
CERTIFY,2018,02,38
CERTIFY,2018,07,52
CERTIFY,2018,08,52
CERTIFY,2019,01,98
CERTIFY,2019,02,124
CERTIFY,2019,03,159
CERTIFY,2019,04,198
CERTIFY,2019,05,265
CERTIFY,2019,06,299
CERTIFY,2019,07,343
CERTIFY,2019,08,380
CERTIFY,2019,09,382
CERTIFY,2019,10,384
CERTIFY,2019,11,386
CERTIFY,2019,12,392
CHILTERN,2013,01,0
CHILTERN,2013,02,0
CHILTERN,2013,03,0
CHILTERN,2013,04,0
CHILTERN,2013,05,0
CHILTERN,2013,06,0
CHILTERN,2013,07,0
CHILTERN,2013,08,0
CHILTERN,2013,09,0
CHILTERN,2013,10,0
CHILTERN,2013,11,0
CHILTERN,2013,12,0
CHILTERN,2014,01,0
CHILTERN,2014,02,0
CHILTERN,2014,03,0
CHILTERN,2014,04,0
CHILTERN,2014,05,0
CHILTERN,2014,06,0
CHILTERN,2014,07,0
CHILTERN,2014,08,0
CHILTERN,2014,09,0
CHILTERN,2014,10,0
CHILTERN,2014,11,0
CHILTERN,2014,12,0
CHILTERN,2015,01,0
CHILTERN,2015,02,0
CHILTERN,2015,03,0
CHILTERN,2015,04,0
CHILTERN,2015,05,0
CHILTERN,2015,07,0
CHILTERN,2015,08,0
CHILTERN,2015,09,0
CHILTERN,2015,10,0
CHILTERN,2015,11,0
CHILTERN,2016,01,0
CHILTERN,2016,02,0
CHILTERN,2016,03,0
CHILTERN,2016,04,0
CHILTERN,2016,07,0
CHILTERN,2016,08,0
CHILTERN,2016,09,0
CHILTERN,2016,10,0
CHILTERN,2016,11,0
CHILTERN,2017,01,0
CHILTERN,2017,02,0
CHILTERN,2017,03,0
CHILTERN,2017,04,0
CHILTERN,2017,07,0
CHILTERN,2017,08,0
CHILTERN,2017,09,4
CHILTERN,2017,10,4
CHILTERN,2018,01,25331
CHILTERN,2018,02,33206
CHILTERN,2018,07,64332
CHILTERN,2018,08,64332
CHILTERN,2019,01,89323
CHILTERN,2019,02,111009
CHILTERN,2019,03,137115
CHILTERN,2019,04,177897
CHILTERN,2019,05,221376
CHILTERN,2019,06,264669
CHILTERN,2019,07,333171
CHILTERN,2019,08,395327
CHILTERN,2019,09,398079
CHILTERN,2019,10,401543
CHILTERN,2019,11,405644
CHILTERN,2019,12,408991
CONCUR,2013,01,0
CONCUR,2013,02,0
CONCUR,2013,03,0
CONCUR,2013,04,0
CONCUR,2013,05,0
CONCUR,2013,06,0
CONCUR,2013,07,0
CONCUR,2013,08,0
CONCUR,2013,09,0
CONCUR,2013,10,0
CONCUR,2013,11,0
CONCUR,2013,12,0
CONCUR,2014,01,0
CONCUR,2014,02,0
CONCUR,2014,03,0
CONCUR,2014,04,0
CONCUR,2014,05,0
CONCUR,2014,06,0
CONCUR,2014,07,0
CONCUR,2014,08,0
CONCUR,2014,09,0
CONCUR,2014,10,0
CONCUR,2014,11,0
CONCUR,2014,12,0
CONCUR,2015,01,0
CONCUR,2015,02,0
CONCUR,2015,03,0
CONCUR,2015,04,0
CONCUR,2015,05,0
CONCUR,2015,07,0
CONCUR,2015,08,0
CONCUR,2015,09,0
CONCUR,2015,10,0
CONCUR,2015,11,0
CONCUR,2016,01,0
CONCUR,2016,02,0
CONCUR,2016,03,0
CONCUR,2016,04,0
CONCUR,2016,07,0
CONCUR,2016,08,0
CONCUR,2016,09,0
CONCUR,2016,10,0
CONCUR,2016,11,0
CONCUR,2017,01,0
CONCUR,2017,02,0
CONCUR,2017,03,0
CONCUR,2017,04,3
CONCUR,2017,07,18
CONCUR,2017,08,33
CONCUR,2017,09,55
CONCUR,2017,10,55
CONCUR,2018,01,99
CONCUR,2018,02,100
CONCUR,2018,07,101
CONCUR,2018,08,101
CONCUR,2019,01,125
CONCUR,2019,02,137
CONCUR,2019,03,143
CONCUR,2019,04,190
CONCUR,2019,05,208
CONCUR,2019,06,227
CONCUR,2019,07,234
CONCUR,2019,08,275
CONCUR,2019,09,275
