tag,yr,mo,total
CERTIFY,2018,1,33
CERTIFY,2018,2,82
CERTIFY,2018,3,128
CERTIFY,2018,4,184
CERTIFY,2018,5,242
CERTIFY,2018,6,307
CERTIFY,2018,7,357
CERTIFY,2018,8,403
CERTIFY,2018,9,459
CERTIFY,2018,10,548
CERTIFY,2018,11,656
CERTIFY,2018,12,739
CERTIFY,2019,1,839
CERTIFY,2019,2,935
CERTIFY,2019,3,1020
CERTIFY,2019,4,1109
CERTIFY,2019,5,1204
CERTIFY,2019,6,1290
CERTIFY,2019,7,1354
CERTIFY,2019,8,1423
CERTIFY,2019,9,1490
CHILTERN,2018,1,"25,406"
CHILTERN,2018,2,"74,045"
CHILTERN,2018,3,"126,715"
CHILTERN,2018,4,"189,081"
CHILTERN,2018,5,"257,685"
CHILTERN,2018,6,"327,460"
CHILTERN,2018,7,"395,888"
CHILTERN,2018,8,"462,749"
CHILTERN,2018,9,"528,635"
CHILTERN,2018,10,"598,911"
CHILTERN,2018,11,"672,692"
CHILTERN,2018,12,"738,148"
CHILTERN,2019,1,"802,773"
CHILTERN,2019,2,"870,635"
CHILTERN,2019,3,"939,902"
CHILTERN,2019,4,"1,014,491"
CHILTERN,2019,5,"1,091,878"
CHILTERN,2019,6,"1,171,983"
CHILTERN,2019,7,"1,254,971"
CHILTERN,2019,8,"1,337,073"
CHILTERN,2019,9,"1,407,658"
CONCUR,2018,1,44
CONCUR,2018,2,91
CONCUR,2018,3,99
CONCUR,2018,4,109
CONCUR,2018,5,115
CONCUR,2018,6,125
CONCUR,2018,7,135
CONCUR,2018,8,142
CONCUR,2018,9,152
CONCUR,2018,10,166
CONCUR,2018,11,178
CONCUR,2018,12,182
CONCUR,2019,1,215
CONCUR,2019,2,272
CONCUR,2019,3,319
CONCUR,2019,4,379
CONCUR,2019,5,435
CONCUR,2019,6,464
CONCUR,2019,7,478
CONCUR,2019,8,504
CONCUR,2019,9,540
EGENCIA,2018,1,"7,040"
EGENCIA,2018,2,"20,381"
EGENCIA,2018,3,"34,197"
EGENCIA,2018,4,"49,746"
EGENCIA,2018,5,"66,593"
EGENCIA,2018,6,"83,852"
EGENCIA,2018,7,"100,980"
EGENCIA,2018,8,"118,094"
EGENCIA,2018,9,"137,164"
EGENCIA,2018,10,"165,251"
EGENCIA,2018,11,"200,368"
EGENCIA,2018,12,"238,612"
EGENCIA,2019,1,"305,928"
EGENCIA,2019,2,"400,751"
EGENCIA,2019,3,"502,690"
EGENCIA,2019,4,"606,377"
EGENCIA,2019,5,"709,260"
EGENCIA,2019,6,"813,249"
EGENCIA,2019,7,"932,856"
EGENCIA,2019,8,"1,092,354"
EGENCIA,2019,9,"1,329,109"
EXPEDIA,2018,1,"3,440"
EXPEDIA,2018,2,"10,396"
EXPEDIA,2018,3,"18,197"
EXPEDIA,2018,4,"27,393"
EXPEDIA,2018,5,"34,460"
EXPEDIA,2018,6,"38,307"
EXPEDIA,2018,7,"41,529"
EXPEDIA,2018,8,"44,199"
EXPEDIA,2018,9,"46,592"
EXPEDIA,2018,10,"49,147"
EXPEDIA,2018,11,"51,541"
EXPEDIA,2018,12,53224
EXPEDIA,2019,1,54576
EXPEDIA,2019,2,56175
EXPEDIA,2019,3,57985
EXPEDIA,2019,4,59851
EXPEDIA,2019,5,61602
EXPEDIA,2019,6,62785
EXPEDIA,2019,7,#VALUE!
EXPEDIA,2019,8,#VALUE!
EXPEDIA,2019,9,#VALUE!
GETTHERE,2018,1,644
GETTHERE,2018,2,1759
GETTHERE,2018,3,2682
GETTHERE,2018,4,3602
GETTHERE,2018,5,4478
GETTHERE,2018,6,5313
GETTHERE,2018,7,6099
GETTHERE,2018,8,6823
GETTHERE,2018,9,7685
GETTHERE,2018,10,8752
GETTHERE,2018,11,9861
GETTHERE,2018,12,10617
GETTHERE,2019,1,11316
GETTHERE,2019,2,12196
GETTHERE,2019,3,13049
GETTHERE,2019,4,13892
GETTHERE,2019,5,14587
