year,sex,name,n,prop
1880,F,Search1,636,0.006516126
1880,F,TOC1,241,0.002469161
1880,F,TOC3,117,0.001198721
1880,F,AgencyFR,112,0.001147494
1880,F,CarrierIT1,27,0.000276628
1880,F,AgencyUK,12,0.000122946
1880,F,Search2,7,7.17E-05
1881,F,Search1,612,0.006190886
1881,F,TOC1,263,0.002660462
1881,F,TOC3,112,0.001132973
1881,F,AgencyFR,109,0.001102625
1881,F,CarrierIT1,38,0.000384401
1881,F,AgencyUK,14,0.000141622
1881,F,Search2,7,7.08E-05
1882,F,Search1,838,0.00724312
1882,F,TOC1,288,0.002489282
1882,F,TOC3,123,0.001063131
1882,F,AgencyFR,115,0.000993984
1882,F,CarrierIT1,36,0.00031116
1882,F,AgencyUK,15,0.00012965
1882,F,Search2,8,6.91E-05
1883,F,Search1,862,0.007179803
1883,F,TOC1,287,0.002390491
1883,F,AgencyFR,141,0.001174423
1883,F,TOC3,120,0.000999509
1883,F,CarrierIT1,49,0.000408133
1883,F,AgencyUK,16,0.000133268
1883,F,Search2,6,5.00E-05
1884,F,Search1,986,0.007166427
1884,F,TOC1,337,0.002449377
1884,F,AgencyFR,163,0.001184714
1884,F,TOC3,144,0.001046618
1884,F,CarrierIT1,33,0.00023985
1884,F,Search2,14,0.000101755
1884,F,AgencyUK,13,9.45E-05
1884,F,CarrierIT2,6,4.36E-05
1885,F,Search1,1134,0.007988785
1885,F,TOC1,339,0.002388182
1885,F,AgencyFR,196,0.001380778
1885,F,TOC3,155,0.001091941
1885,F,CarrierIT1,60,0.000422687
1885,F,AgencyUK,10,7.04E-05
1885,F,Search2,6,4.23E-05
1885,F,CarrierIT2,5,3.52E-05
1886,F,Search1,1267,0.008241401
1886,F,TOC1,370,0.002406723
1886,F,AgencyFR,230,0.001496071
1886,F,TOC3,167,0.001086278
1886,F,CarrierIT1,49,0.000318728
1886,F,Search2,11,7.16E-05
1886,F,AgencyUK,10,6.50E-05
1886,F,CarrierIT2,8,5.20E-05
1887,F,Search1,1405,0.009039904
1887,F,TOC1,338,0.002174724
1887,F,AgencyFR,272,0.001750074
1887,F,TOC3,178,0.001145269
1887,F,CarrierIT1,50,0.000321705
1887,F,AgencyUK,15,9.65E-05
1887,F,CarrierIT2,10,6.43E-05
1887,F,Search2,8,5.15E-05
1888,F,Search1,1847,0.009749429
1888,F,TOC1,404,0.002132523
1888,F,AgencyFR,373,0.001968888
1888,F,TOC3,214,0.001129604
1888,F,CarrierIT1,77,0.000406446
1888,F,AgencyUK,26,0.000137242
1888,F,Search2,18,9.50E-05
1888,F,CarrierIT2,12,6.33E-05
1889,F,Search1,1909,0.010088839
1889,F,TOC1,413,0.002182656
1889,F,AgencyFR,377,0.0019924
1889,F,TOC3,189,0.000998843
1889,F,CarrierIT1,74,0.000391081
1889,F,CarrierIT2,17,8.98E-05
1889,F,AgencyUK,12,6.34E-05
1889,F,Search2,9,4.76E-05
1890,F,Search1,2312,0.011464785
1890,F,AgencyFR,458,0.002271138
1890,F,TOC1,392,0.001943856
1890,F,TOC3,216,0.001071104
1890,F,CarrierIT1,54,0.000267776
1890,F,AgencyUK,24,0.000119012
1890,F,Search2,18,8.93E-05
1890,F,CarrierIT2,11,5.45E-05
1891,F,Search1,2417,0.012296062
1891,F,AgencyFR,566,0.002879425
1891,F,TOC1,371,0.001887397
1891,F,TOC3,239,0.00121587
1891,F,CarrierIT1,78,0.000396811
1891,F,AgencyUK,15,7.63E-05
1891,F,Search2,14,7.12E-05
1891,F,CarrierIT2,12,6.10E-05
1892,F,Search1,2936,0.01305382
1892,F,AgencyFR,626,0.002783274
1892,F,TOC1,455,0.002022986
1892,F,TOC3,255,0.001133762
1892,F,CarrierIT1,83,0.000369028
1892,F,CarrierIT2,21,9.34E-05
1892,F,AgencyUK,16,7.11E-05
1892,F,Search2,14,6.22E-05
1893,F,Search1,3249,0.014425126
1893,F,AgencyFR,821,0.00364513
1893,F,TOC1,387,0.001718228
1893,F,TOC3,298,0.00132308
1893,F,CarrierIT1,82,0.000364069
1893,F,CarrierIT2,28,0.000124316
1893,F,AgencyUK,24,0.000106557
1893,F,Search2,15,6.66E-05
1894,F,Search1,3676,0.015578119
1894,F,AgencyFR,1052,0.004458156
1894,F,TOC1,418,0.001771397
1894,F,TOC3,298,0.001262862
1894,F,CarrierIT1,94,0.000398352
1894,F,CarrierIT2,36,0.00015256
1894,F,AgencyUK,18,7.63E-05
1894,F,Search2,10,4.24E-05
1895,F,Search1,4023,0.016280397
1895,F,AgencyFR,1127,0.004560777
1895,F,TOC1,431,0.001744184
1895,F,TOC3,350,0.00141639
1895,F,CarrierIT1,96,0.000388496
1895,F,CarrierIT2,35,0.000141639
1895,F,Search2,19,7.69E-05
1895,F,AgencyUK,13,5.26E-05
1896,F,Search1,4392,0.017429056
1896,F,AgencyFR,1366,0.005420785
1896,F,TOC1,367,0.00145639
1896,F,TOC3,342,0.001357181
1896,F,CarrierIT1,104,0.00041271
1896,F,CarrierIT2,37,0.000146829
1896,F,AgencyUK,18,7.14E-05
1896,F,Search2,9,3.57E-05
1897,F,Search1,4519,0.018201591
1897,F,AgencyFR,1472,0.005928909
1897,F,TOC3,367,0.0014782
1897,F,TOC1,354,0.001425838
1897,F,CarrierIT1,81,0.000326251
1897,F,CarrierIT2,49,0.000197362
1897,F,AgencyUK,23,9.26E-05
1897,F,Search2,9,3.63E-05
1898,F,Search1,5230,0.019077426
1898,F,AgencyFR,1671,0.006095292
1898,F,TOC3,421,0.001535678
1898,F,TOC1,371,0.001353294
1898,F,CarrierIT1,102,0.000372065
1898,F,CarrierIT2,47,0.000171441
1898,F,AgencyUK,21,7.66E-05
1898,F,Search2,13,4.74E-05
1899,F,Search1,5048,0.020396784
1899,F,AgencyFR,1687,0.006816437
1899,F,TOC3,410,0.001656633
1899,F,TOC1,326,0.001317225
1899,F,CarrierIT1,98,0.000395976
1899,F,CarrierIT2,56,0.000226272
1899,F,Search2,14,5.66E-05
1899,F,AgencyUK,11,4.44E-05
1900,F,Search1,6343,0.019960664
1900,F,AgencyFR,2491,0.00783888
1900,F,TOC3,664,0.002089529
1900,F,TOC1,377,0.001186374
1900,F,CarrierIT1,126,0.000396507
1900,F,CarrierIT2,89,0.000280072
1900,F,AgencyUK,26,8.18E-05
1900,F,Search2,23,7.24E-05
1901,F,Search1,5247,0.020638629
1901,F,AgencyFR,2173,0.008547311
1901,F,TOC3,474,0.001864439
1901,F,TOC1,317,0.001246893
1901,F,CarrierIT1,86,0.000338274
1901,F,CarrierIT2,68,0.000267472
1901,F,AgencyUK,21,8.26E-05
1901,F,Search2,8,3.15E-05
1902,F,Search1,5967,0.0212854
1902,F,AgencyFR,2707,0.009656373
1902,F,TOC3,580,0.002068968
1902,F,TOC1,301,0.001073723
1902,F,CarrierIT1,91,0.000324614
1902,F,CarrierIT2,85,0.000303211
1902,F,AgencyUK,21,7.49E-05
1902,F,Search2,9,3.21E-05
1903,F,Search1,6129,0.022031071
1903,F,AgencyFR,3078,0.011064062
1903,F,TOC3,596,0.002142359
1903,F,TOC1,247,0.000887857
1903,F,CarrierIT1,90,0.000323511
1903,F,CarrierIT2,79,0.00028397
1903,F,AgencyUK,21,7.55E-05
1903,F,Search2,16,5.75E-05
1904,F,Search1,6488,0.022185899
1904,F,AgencyFR,3477,0.0118897
1904,F,TOC3,707,0.002417606
1904,F,TOC1,294,0.001005341
1904,F,CarrierIT2,124,0.000424022
1904,F,CarrierIT1,101,0.000345372
1904,F,AgencyUK,23,7.86E-05
1904,F,Search2,16,5.47E-05
1905,F,Search1,6811,0.021980185
1905,F,AgencyFR,3937,0.012705328
1905,F,TOC3,807,0.002604318
1905,F,TOC1,311,0.001003647
1905,F,CarrierIT2,121,0.000390486
1905,F,CarrierIT1,106,0.000342079
1905,F,AgencyUK,18,5.81E-05
1905,F,Search2,17,5.49E-05
1906,F,Search1,7176,0.022894261
1906,F,AgencyFR,4326,0.013801641
1906,F,TOC3,865,0.00275969
1906,F,TOC1,260,0.000829502
1906,F,CarrierIT2,157,0.000500892
1906,F,CarrierIT1,98,0.000312659
1906,F,AgencyUK,25,7.98E-05
1906,F,Search2,18,5.74E-05
1907,F,Search1,7579,0.022460755
1907,F,AgencyFR,4967,0.014719959
1907,F,TOC3,1018,0.003016895
1907,F,TOC1,285,0.000844612
1907,F,CarrierIT2,177,0.000524549
1907,F,CarrierIT1,102,0.000302282
1907,F,AgencyUK,21,6.22E-05
1907,F,Search2,17,5.04E-05
1908,F,Search1,8439,0.023803144
1908,F,AgencyFR,5703,0.01608595
1908,F,TOC3,1128,0.00318165
1908,F,TOC1,260,0.000733359
1908,F,CarrierIT2,205,0.000578225
1908,F,CarrierIT1,93,0.000262317
1908,F,AgencyUK,25,7.05E-05
1908,F,Search2,17,4.80E-05
1909,F,Search1,9250,0.025129178
1909,F,AgencyFR,6253,0.016987324
1909,F,TOC3,1082,0.002939435
1909,F,TOC1,271,0.000736217
1909,F,CarrierIT2,233,0.000632984
1909,F,CarrierIT1,105,0.00028525
1909,F,AgencyUK,26,7.06E-05
1909,F,Search2,18,4.89E-05
1910,F,Search1,10479,0.02497819
