year,sex,name,n,prop
01/01/2019,F,TOC2,14370,0.007127753
01/01/2019,F,Search2,9469,0.004696778
01/01/2019,F,TOC1,4677,0.002319868
01/01/2019,F,CarrierIT2,997,0.000494528
01/01/2019,F,Search1,860,0.000426574
01/01/2019,F,CarrierIT1,727,0.000360604
01/01/2019,F,AgencyUK,427,0.000211799
01/01/2019,F,AgencyFR,288,0.000142853
01/01/2019,F,TOC3,136,6.75E-05
01/02/2019,F,TOC2,13270,0.00654498
01/02/2019,F,Search2,8108,0.003998998
01/02/2019,F,TOC1,4088,0.002016268
01/02/2019,F,Search1,960,0.000473488
01/02/2019,F,CarrierIT2,877,0.000432551
01/02/2019,F,CarrierIT1,745,0.000367446
01/02/2019,F,AgencyUK,425,0.000209617
01/02/2019,F,AgencyFR,234,0.000115413
01/02/2019,F,TOC3,132,6.51E-05
01/03/2019,F,TOC2,12340,0.005909223
01/03/2019,F,Search2,6809,0.003260608
01/03/2019,F,TOC1,3355,0.0016066
01/03/2019,F,Search1,948,0.000453966
01/03/2019,F,CarrierIT2,775,0.000371122
01/03/2019,F,CarrierIT1,698,0.000334249
01/03/2019,F,AgencyUK,423,0.000202561
01/03/2019,F,AgencyFR,265,0.0001269
01/03/2019,F,TOC3,135,6.46E-05
01/04/2019,F,TOC2,11423,0.005403741
01/04/2019,F,Search2,5704,0.002698322
01/04/2019,F,TOC1,3038,0.00143715
01/04/2019,F,Search1,931,0.000440417
01/04/2019,F,CarrierIT2,725,0.000342967
01/04/2019,F,CarrierIT1,659,0.000311745
01/04/2019,F,AgencyUK,371,0.000175504
01/04/2019,F,AgencyFR,262,0.000123941
01/04/2019,F,TOC3,134,6.34E-05
01/05/2019,F,TOC2,9402,0.004520305
01/05/2019,F,Search2,4732,0.002275057
01/05/2019,F,TOC1,2439,0.001172625
01/05/2019,F,Search1,884,0.000425011
01/05/2019,F,CarrierIT2,629,0.000302411
01/05/2019,F,CarrierIT1,611,0.000293757
01/05/2019,F,AgencyUK,355,0.000170677
01/05/2019,F,AgencyFR,242,0.000116349
01/05/2019,F,TOC3,137,6.59E-05
01/06/2019,F,TOC2,7811,0.003863391
01/06/2019,F,Search2,3793,0.001876052
01/06/2019,F,TOC1,1952,0.000965477
01/06/2019,F,Search1,826,0.000408547
01/06/2019,F,CarrierIT2,564,0.000278959
01/06/2019,F,CarrierIT1,550,0.000272035
01/06/2019,F,AgencyUK,346,0.000171135
01/06/2019,F,AgencyFR,226,0.000111782
01/06/2019,F,TOC3,148,7.32E-05
01/07/2019,F,TOC2,6306,0.003222521
01/07/2019,F,Search2,3195,0.001632724
01/07/2019,F,TOC1,1655,0.000845746
01/07/2019,F,Search1,703,0.00035925
01/07/2019,F,CarrierIT2,479,0.000244781
01/07/2019,F,CarrierIT1,476,0.000243248
01/07/2019,F,AgencyUK,354,0.000180903
01/07/2019,F,AgencyFR,240,0.000122646
01/07/2019,F,TOC3,132,6.75E-05
01/08/2019,F,TOC2,5398,0.002792056
01/08/2019,F,Search2,2620,0.001355166
01/08/2019,F,TOC1,1409,0.00072879
01/08/2019,F,Search1,729,0.000377067
01/08/2019,F,CarrierIT1,488,0.000252413
01/08/2019,F,CarrierIT2,427,0.000220861
01/08/2019,F,AgencyUK,332,0.000171723
01/08/2019,F,AgencyFR,276,0.000142758
01/08/2019,F,TOC3,167,8.64E-05
01/09/2019,F,TOC2,4696,0.002428064
01/09/2019,F,Search2,2327,0.001203174
01/09/2019,F,TOC1,1228,0.000634937
01/09/2019,F,Search1,772,0.000399162
01/09/2019,F,CarrierIT1,448,0.000231638
01/09/2019,F,CarrierIT2,394,0.000203717
01/09/2019,F,AgencyUK,336,0.000173729
01/09/2019,F,AgencyFR,277,0.000143223
01/09/2019,F,TOC3,140,7.24E-05
01/10/2019,F,TOC2,3936,0.002048983
01/10/2019,F,Search2,1946,0.001013039
01/10/2019,F,TOC1,1064,0.000553892
01/10/2019,F,Search1,738,0.000384184
01/10/2019,F,CarrierIT1,441,0.000229574
01/10/2019,F,CarrierIT2,419,0.000218121
01/10/2019,F,AgencyFR,334,0.000173872
01/10/2019,F,AgencyUK,329,0.000171269
01/10/2019,F,TOC3,174,9.06E-05
01/11/2019,F,TOC2,3547,0.00182126
01/11/2019,F,Search2,1790,0.000919102
01/11/2019,F,TOC1,1048,0.000538111
01/11/2019,F,Search1,801,0.000411285
01/11/2019,F,CarrierIT1,470,0.000241328
01/11/2019,F,AgencyFR,382,0.000196144
01/11/2019,F,CarrierIT2,377,0.000193576
01/11/2019,F,AgencyUK,369,0.000189469
01/11/2019,F,TOC3,193,9.91E-05
01/12/2019,F,TOC2,3409,0.001761658
01/12/2019,F,Search2,1577,0.000814941
01/12/2019,F,TOC1,1013,0.000523485
01/12/2019,F,Search1,757,0.000391192
01/12/2019,F,CarrierIT1,423,0.000218592
01/12/2019,F,AgencyFR,395,0.000204123
01/12/2019,F,AgencyUK,346,0.000178801
01/12/2019,F,CarrierIT2,346,0.000178801
01/12/2019,F,TOC3,186,9.61E-05
