name, value ,year, lastValue ,rank
BUSBUD,0,1,0,14
CERTIFY,0,1,0,14
CONCUR,0,1,0,14
EGENCIA,1050,1,0,5
GETTHERE,0,1,0,14
HRG,94,1,0,11
IFAO,0,1,0,14
INNTEL,406,1,0,10
KDS,542,1,0,8
LOCO2,0,1,0,14
PASS,0,1,0,14
PAYZONE,0,1,0,14
OMIO,1314,1,0,4
RAILEUROPE,426,1,0,9
RAILONLINE,0,1,0,14
RAILPLUS,0,1,0,14
REARDEN,52,1,0,13
VIRGINRED,0,1,0,14
ROME2RIO,0,1,0,14
WANDERU,65,1,0,12
RailEurope Fr.,633,1,0,6
Egencia Fr.,37366,1,0,2
CHILTERN,4160,1,0,3
GRAND CENTRAL,543,1,0,7
EASTMID,0,1,0,14
TFWALES,0,1,0,14
BUSBUD,0,2,0,16
CERTIFY,0,2,0,16
CONCUR,4,2,0,14
EGENCIA,2695,2,1050,4
GETTHERE,0,2,0,16
HRG,167,2,94,12
IFAO,4,2,0,14
INNTEL,937,2,406,9
KDS,1154,2,542,7
LOCO2,0,2,0,16
PASS,0,2,0,16
PAYZONE,0,2,0,16
OMIO,2678,2,1314,5
RAILEUROPE,898,2,426,10
RAILONLINE,0,2,0,16
RAILPLUS,0,2,0,16
REARDEN,87,2,52,13
VIRGINRED,0,2,0,16
ROME2RIO,0,2,0,16
WANDERU,180,2,65,11
RailEurope Fr.,1327,2,633,6
Egencia Fr.,72459,2,37366,2
CHILTERN,9150,2,4160,3
GRAND CENTRAL,1074,2,543,8
EASTMID,0,2,0,16
TFWALES,0,2,0,16
BUSBUD,0,3,0,16
CERTIFY,0,3,0,16
CONCUR,5,3,4,14
EGENCIA,5899,3,2695,4
GETTHERE,0,3,0,16
HRG,245,3,167,12
IFAO,5,3,4,14
INNTEL,1824,3,937,9
KDS,1895,3,1154,8
LOCO2,0,3,0,16
PASS,0,3,0,16
PAYZONE,0,3,0,16
OMIO,4726,3,2678,5
RAILEUROPE,1503,3,898,10
RAILONLINE,0,3,0,16
RAILPLUS,0,3,0,16
REARDEN,126,3,87,13
VIRGINRED,0,3,0,16
ROME2RIO,0,3,0,16
WANDERU,276,3,180,11
RailEurope Fr.,2123,3,1327,7
Egencia Fr.,114445,3,72459,2
CHILTERN,18168,3,9150,3
GRAND CENTRAL,2427,3,1074,6
EASTMID,0,3,0,16
TFWALES,0,3,0,16
BUSBUD,0,4,0,17
CERTIFY,0,4,0,17
CONCUR,6,4,5,16
EGENCIA,12068,4,5899,4
GETTHERE,0,4,0,17
HRG,331,4,245,11
IFAO,7,4,5,15
INNTEL,2788,4,1824,9
KDS,2922,4,1895,7
LOCO2,0,4,0,17
PASS,0,4,0,17
PAYZONE,0,4,0,17
OMIO,7011,4,4726,5
RAILEUROPE,2060,4,1503,10
RAILONLINE,0,4,0,17
RAILPLUS,0,4,0,17
REARDEN,178,4,126,13
VIRGINRED,110,4,0,14
ROME2RIO,0,4,0,17
WANDERU,322,4,276,12
RailEurope Fr.,2837,4,2123,8
Egencia Fr.,142277,4,114445,2
CHILTERN,32473,4,18168,3
GRAND CENTRAL,5304,4,2427,6
EASTMID,0,4,0,17
TFWALES,0,4,0,17
BUSBUD,0,5,0,17
CERTIFY,0,5,0,17
CONCUR,8,5,6,15
EGENCIA,31509,5,12068,4
GETTHERE,0,5,0,17
HRG,396,5,331,12
IFAO,8,5,7,15
INNTEL,4048,5,2788,8
KDS,4102,5,2922,7
LOCO2,0,5,0,17
PASS,0,5,0,17
PAYZONE,0,5,0,17
OMIO,10702,5,7011,5
RAILEUROPE,3143,5,2060,10
RAILONLINE,0,5,0,17
RAILPLUS,0,5,0,17
REARDEN,243,5,178,14
VIRGINRED,576,5,110,11
ROME2RIO,0,5,0,17
WANDERU,363,5,322,13
RailEurope Fr.,4012,5,2837,9
Egencia Fr.,187681,5,142277,2
CHILTERN,54463,5,32473,3
GRAND CENTRAL,9702,5,5304,6
EASTMID,0,5,0,17
TFWALES,0,5,0,17
BUSBUD,0,6,0,17
CERTIFY,0,6,0,17
CONCUR,10,6,8,16
EGENCIA,75983,6,31509,4
GETTHERE,0,6,0,17
HRG,500,6,396,13
IFAO,16,6,8,15
INNTEL,5690,6,4048,9
KDS,5824,6,4102,8
LOCO2,0,6,0,17
PASS,0,6,0,17
PAYZONE,0,6,0,17
OMIO,14579,6,10702,6
RAILEUROPE,5173,6,3143,10
RAILONLINE,0,6,0,17
RAILPLUS,0,6,0,17
REARDEN,347,6,243,14
VIRGINRED,1369,6,576,11
ROME2RIO,0,6,0,17
WANDERU,520,6,363,12
RailEurope Fr.,6215,6,4012,7
Egencia Fr.,270286,6,187681,2
CHILTERN,80751,6,54463,3
GRAND CENTRAL,14689,6,9702,5
EASTMID,0,6,0,17
TFWALES,0,6,0,17
BUSBUD,0,7,0,18
CERTIFY,0,7,0,18
CONCUR,10,7,10,16
EGENCIA,104270,7,75983,4
GETTHERE,2,7,0,17
HRG,611,7,500,13
IFAO,17,7,16,15
INNTEL,7601,7,5690,9
KDS,6624,7,5824,10
LOCO2,0,7,0,18
PASS,0,7,0,18
PAYZONE,0,7,0,18
OMIO,18309,7,14579,6
RAILEUROPE,7982,7,5173,8
RAILONLINE,0,7,0,18
RAILPLUS,0,7,0,18
REARDEN,500,7,347,14
VIRGINRED,2357,7,1369,11
ROME2RIO,0,7,0,18
WANDERU,812,7,520,12
RailEurope Fr.,9192,7,6215,7
Egencia Fr.,327755,7,270286,2
CHILTERN,108116,7,80751,3
GRAND CENTRAL,20749,7,14689,5
EASTMID,0,7,0,18
TFWALES,0,7,0,18
BUSBUD,0,8,0,19
CERTIFY,2,8,0,18
CONCUR,11,8,10,16
EGENCIA,119061,8,104270,4
GETTHERE,4,8,2,17
HRG,752,8,611,13
IFAO,18,8,17,15
INNTEL,9429,8,7601,9
KDS,9289,8,6624,10
LOCO2,0,8,0,19
PASS,0,8,0,19
PAYZONE,0,8,0,19
OMIO,21890,8,18309,6
RAILEUROPE,10928,8,7982,8
RAILONLINE,0,8,0,19
RAILPLUS,0,8,0,19
REARDEN,644,8,500,14
VIRGINRED,3471,8,2357,11
ROME2RIO,0,8,0,19
WANDERU,2085,8,812,12
RailEurope Fr.,12563,8,9192,7
Egencia Fr.,375567,8,327755,2
CHILTERN,138623,8,108116,3
GRAND CENTRAL,28279,8,20749,5
EASTMID,0,8,0,19
TFWALES,0,8,0,19
BUSBUD,0,9,0,19
CERTIFY,2,9,2,18
CONCUR,23,9,11,16
EGENCIA,141303,9,119061,4
GETTHERE,16,9,4,17
HRG,951,9,752,13
IFAO,24,9,18,15
INNTEL,13108,9,9429,10
KDS,15141,9,9289,8
LOCO2,0,9,0,19
PASS,0,9,0,19
PAYZONE,0,9,0,19
OMIO,26168,9,21890,6
RAILEUROPE,14666,9,10928,9
